# range -128..128
# sum of line must not exceed the range!

# This is Catmull-Rom with 40% scanlines

# horizontal coefficients
  0, 128,   0,   0
 -4, 127,   5,  -0
 -6, 123,  12,  -1
 -8, 118,  20,  -2
 -9, 111,  29,  -3
 -9, 103,  39,  -4
 -9,  93,  50,  -6
 -9,  83,  61,  -7
 -8,  72,  72,  -8
 -7,  61,  83,  -9
 -6,  50,  93,  -9
 -4,  39, 103,  -9
 -3,  29, 111,  -9
 -2,  20, 118,  -8
 -1,  12, 123,  -6
 -0,   5, 127,  -4


# vertical coefficients
   0, 128,   0,   0
   0, 126,   0,   0
   0, 121,   0,   0
   0, 113,   1,   0
   0, 102,   2,   0
   0,  89,   5,   0
   0,  73,  12,   0
   0,  56,  23,   0
   0,  38,  38,   0
   0,  23,  56,   0
   0,  12,  73,   0
   0,   5,  89,   0
   0,   2, 102,   0
   0,   1, 113,   0
   0,   0, 121,   0
   0,   0, 126,   0





